Major,Degree,Early-Career Pay,Mid-Career Pay,% High Meaning
Petroleum Engineering,Bachelors,"$92,300","$182,000% ",69%
Electrical Engineering & Computer Science (EECS),Bachelors,"$101,200","$152,300% ",46%
Applied Economics and Management,Bachelors,"$60,900","$139,600% ",67%
Operations Research,Bachelors,"$78,400","$139,600% ",52%
Public Accounting,Bachelors,"$60,000","$138,800% ",49%
Chemical Engineering/Materials Science & Engineering,Bachelors,"$74,500","$137,800% ",60%
Quantitative Business Analysis,Bachelors,"$67,900","$136,200% ",55%
Pharmacy,Bachelors,"$66,300","$133,200% ",79%
Aeronautics & Astronautics,Bachelors,"$74,000","$133,100% ",60%
Systems Engineering,Bachelors,"$74,000","$132,900% ",54%
Electrical Power Engineering,Bachelors,"$73,100","$130,700% ",67%
Actuarial Mathematics,Bachelors,"$61,900","$130,500% ",50%
Aerospace Studies,Bachelors,"$50,300","$130,300% ",-
Chemical Engineering,Bachelors,"$73,500","$128,900% ",56%
Actuarial Science,Bachelors,"$64,700","$128,700% ",42%
Information & Computer Science,Bachelors,"$70,300","$127,600% ",60%
Aeronautical Engineering,Bachelors,"$71,600","$125,900% ",64%
Operations & Information Systems Management,Bachelors,"$63,800","$125,100% ",31%
Political Economy,Bachelors,"$58,200","$125,100% ",34%
Marine Engineering,Bachelors,"$74,700","$125,000% ",64%
Computer Systems Engineering,Bachelors,"$74,600","$124,800% ",49%
Nuclear Engineering,Bachelors,"$73,100","$124,500% ",63%
Computer Science (CS) & Engineering,Bachelors,"$74,000","$124,000% ",44%
Corporate Accounting & Finance,Bachelors,"$61,200","$123,600% ",57%
Electrical & Computer Engineering (ECE),Bachelors,"$73,900","$123,300% ",49%
Computer Engineering (CE),Bachelors,"$74,600","$123,200% ",46%
Econometrics,Bachelors,"$60,700","$123,000% ",30%
Building Science,Bachelors,"$51,100","$122,500% ",51%
Mechatronics,Bachelors,"$70,200","$122,300% ",47%
Quantitative Economics,Bachelors,"$62,000","$121,900% ",45%
Foreign Affairs,Bachelors,"$52,200","$121,800% ",40%
Welding Engineering,Bachelors,"$76,900","$121,800% ",44%
Economics and Mathematics,Bachelors,"$65,000","$121,400% ",33%
Electrical Engineering (EE),Bachelors,"$71,800","$121,400% ",55%
Cognitive Science,Bachelors,"$64,100","$121,100% ",41%
Control Engineering,Bachelors,"$69,900","$121,100% ",63%
Geophysics,Bachelors,"$56,900","$120,600% ",46%
Pharmacology,Bachelors,"$55,000","$120,600% ",71%
Instrumentation & Control Engineering,Bachelors,"$69,000","$120,500% ",-
Computational & Applied Mathematics,Bachelors,"$69,700","$120,100% ",43%
Marine Transportation Management,Bachelors,"$67,800","$120,100% ",47%
Aerospace Engineering,Bachelors,"$70,700","$119,800% ",57%
Ocean Engineering (OE),Bachelors,"$65,100","$119,700% ",51%
Astronomy,Bachelors,"$54,300","$119,600% ",39%
Mechanical & Aeronautical Engineering,Bachelors,"$66,900","$119,600% ",60%
Chemical & Biomolecular Engineering,Bachelors,"$74,000","$118,700% ",48%
Computer Science (CS) & Mathematics,Bachelors,"$66,800","$118,500% ",43%
Bioscience,Bachelors,"$48,400","$118,300% ",-
Electrical & Electronics Engineering (EEE),Bachelors,"$71,300","$118,100% ",55%
Metallurgical Engineering,Bachelors,"$79,100","$117,700% ",55%
Aeronautical/Aerospace Engineering Technology,Bachelors,"$73,400","$117,500% ",58%
Materials Engineering,Bachelors,"$69,100","$117,500% ",48%
Accounting & Economics,Bachelors,"$61,600","$117,400% ",43%
Industrial & Systems Engineering,Bachelors,"$69,900","$117,300% ",49%
Optical Science & Engineering,Bachelors,"$67,600","$117,100% ",65%
Computer Science (CS),Bachelors,"$70,700","$116,500% ",42%
Biomedical Engineering (BME),Bachelors,"$67,700","$116,300% ",72%
Materials Science,Bachelors,"$62,700","$116,200% ",-
Electronics & Communications Engineering,Bachelors,"$61,500","$116,100% ",55%
Mining Engineering,Bachelors,"$75,200","$116,100% ",70%
Engineering,Bachelors,"$66,500","$116,000% ",59%
Applied Mathematics,Bachelors,"$64,400","$115,500% ",39%
Integrated Science & Technology,Bachelors,"$62,500","$115,500% ",56%
Petroleum Land Management,Bachelors,"$60,600","$115,400% ",70%
Bioengineering (BioE),Bachelors,"$67,400","$115,000% ",67%
Software Engineering,Bachelors,"$71,100","$114,700% ",42%
Operations Management & Information Systems,Bachelors,"$61,900","$114,500% ",39%
Statistics,Bachelors,"$63,700","$114,400% ",42%
Business Analysis,Bachelors,"$59,200","$114,300% ",49%
Computer & Information Science,Bachelors,"$60,100","$114,300% ",55%
Physics,Bachelors,"$62,300","$113,800% ",49%
Physics & Mathematics,Bachelors,"$61,500","$113,600% ",47%
Physics & Astronomy,Bachelors,"$54,000","$112,900% ",43%
Construction Engineering Management,Bachelors,"$64,800","$112,700% ",55%
Physician Assistant Studies,Bachelors,"$92,900","$112,200% ",86%
Mechanical Engineering (ME),Bachelors,"$67,600","$111,500% ",51%
Industrial Engineering (IE),Bachelors,"$68,300","$111,400% ",45%
Entrepreneurship & Marketing,Bachelors,"$48,500","$111,100% ",49%
Engineering Science,Bachelors,"$64,700","$111,100% ",45%
International Business & Finance,Bachelors,"$57,700","$111,100% ",42%
Materials Science & Engineering,Bachelors,"$69,200","$111,100% ",47%
Ceramic Engineering,Bachelors,"$66,300","$110,900% ",45%
International Economics,Bachelors,"$54,600","$110,900% ",49%
Information & Decision Sciences,Bachelors,"$60,600","$110,800% ",37%
Finance & Marketing,Bachelors,"$53,400","$110,700% ",45%
Telecommunications Engineering,Bachelors,"$59,800","$110,600% ",43%
Business & Economics,Bachelors,"$56,800","$110,500% ",44%
Mathematics & Statistics,Bachelors,"$59,800","$110,000% ",42%
Paper Science,Bachelors,"$72,400","$109,900% ",38%
Electronics Engineering,Bachelors,"$67,600","$109,700% ",61%
Engineering Physics,Bachelors,"$66,700","$109,700% ",48%
Industrial Distribution,Bachelors,"$60,700","$109,700% ",49%
Economics,Bachelors,"$58,200","$109,400% ",41%
Energy Management,Bachelors,"$64,000","$109,200% ",66%
Structural Engineering (SE),Bachelors,"$64,300","$109,200% ",66%
Managerial Economics,Bachelors,"$61,500","$109,100% ",41%
Automotive Engineering,Bachelors,"$60,500","$108,700% ",-
Business & Information Technology (IT),Bachelors,"$58,200","$108,700% ",46%
Japanese Language,Bachelors,"$50,000","$108,700% ",41%
Japanese Studies,Bachelors,"$49,200","$108,500% ",22%
Finance & Economics,Bachelors,"$59,800","$108,100% ",42%
Management Information Systems (MIS),Bachelors,"$61,200","$107,800% ",43%
Pharmaceutical Sciences (PS),Bachelors,"$50,200","$107,700% ",69%
Mechanical,Bachelors,"$66,800","$107,600% ",55%
Applied Physics,Bachelors,"$63,800","$107,500% ",56%
Information Management,Bachelors,"$61,300","$107,500% ",42%
Aeronautical Science & Engineering,Bachelors,"$54,300","$107,100% ",63%
Construction Project Management,Bachelors,"$57,400","$107,000% ",59%
Packaging Science,Bachelors,"$66,800","$107,000% ",37%
Industrial Engineering & Management,Bachelors,"$63,200","$106,900% ",57%
Asian Studies,Bachelors,"$44,000","$106,400% ",39%
Management Science,Bachelors,"$60,500","$106,400% ",41%
Accounting & Taxation,Bachelors,"$53,300","$105,700% ",43%
Manufacturing Engineering,Bachelors,"$65,800","$105,600% ",48%
Astrophysics,Bachelors,"$64,100","$105,400% ",65%
Engineering Management,Bachelors,"$65,800","$105,200% ",55%
Business Economics,Bachelors,"$54,900","$105,100% ",42%
Information Sciences and Technology,Bachelors,"$60,700","$105,100% ",40%
Information Systems Management,Bachelors,"$57,600","$104,800% ",44%
Finance & Investments,Bachelors,"$60,500","$104,400% ",41%
Environmental Health & Safety Management,Bachelors,"$58,300","$104,200% ",64%
Rhetoric,Bachelors,"$49,400","$104,200% ",46%
Strategic Management,Bachelors,"$62,800","$104,200% ",45%
Robotics & Automation,Bachelors,"$66,500","$104,100% ",-
Building Construction (BC),Bachelors,"$63,600","$104,000% ",52%
Accounting & Computer Systems,Bachelors,"$60,200","$103,800% ",42%
Construction Science,Bachelors,"$64,000","$103,800% ",63%
Polymer Science & Engineering,Bachelors,"$69,200","$103,700% ",27%
Computing,Bachelors,"$59,800","$103,500% ",50%
Information Security & Assurance,Bachelors,"$60,600","$103,500% ",41%
Civil Engineering (CE),Bachelors,"$61,700","$103,500% ",65%
Mathematics,Bachelors,"$59,600","$103,400% ",45%
Government,Bachelors,"$52,200","$103,400% ",49%
Biochemistry & Molecular Biology,Bachelors,"$50,500","$103,300% ",70%
Information Technology Management,Bachelors,"$59,300","$103,300% ",48%
Finance & Real Estate,Bachelors,"$58,600","$103,200% ",45%
Construction Engineering,Bachelors,"$64,500","$103,100% ",57%
Business Logistics & Transportation,Bachelors,"$54,900","$102,900% ",48%
Construction Management,Bachelors,"$59,700","$102,900% ",58%
Aeronautical Science,Bachelors,"$55,300","$102,800% ",57%
Computer Management Information Systems (CMIS),Bachelors,"$54,300","$102,600% ",46%
Software Applications & Programming,Bachelors,"$56,400","$102,500% ",37%
Financial Economics,Bachelors,"$60,600","$102,300% ",44%
Marketing & International Business,Bachelors,"$49,700","$102,200% ",35%
Informatics,Bachelors,"$66,200","$101,900% ",41%
Medicine,Bachelors,"$75,500","$101,900% ",84%
Civil & Environmental Engineering,Bachelors,"$61,800","$101,800% ",67%
Atmospheric Science,Bachelors,"$47,300","$101,600% ",55%
Environmental Engineering,Bachelors,"$59,500","$101,300% ",64%
European Studies,Bachelors,"$45,200","$101,200% ",47%
Nuclear Engineering Technology (NET),Bachelors,"$78,200","$101,200% ",60%
Industrial Management,Bachelors,"$55,100","$101,000% ",55%
Information Systems (IS),Bachelors,"$59,900","$101,000% ",45%
Sales & Business Marketing,Bachelors,"$52,600","$100,800% ",49%
Business Computer Information Systems (BCIS),Bachelors,"$60,200","$100,700% ",36%
Organic Chemistry,Bachelors,"$46,000","$100,700% ",-
Business Operations,Bachelors,"$60,500","$100,600% ",-
Business Computer Science,Bachelors,"$50,200","$100,500% ",-
Business Finance,Bachelors,"$54,600","$100,300% ",43%
Safety Science,Bachelors,"$58,800","$100,300% ",-
Plastics Engineering Technology,Bachelors,"$63,800","$100,200% ",31%
Business Information Systems,Bachelors,"$61,700","$100,100% ",44%
International Management,Bachelors,"$49,300","$99,900% ",52%
Finance,Bachelors,"$56,800","$99,800% ",41%
Agricultural Economics,Bachelors,"$53,000","$99,700% ",59%
Economics & Political Science,Bachelors,"$54,200","$99,400% ",50%
Interactive Media,Bachelors,"$50,200","$99,400% ",32%
Computer Science & Information Technology,Bachelors,"$63,100","$99,100% ",49%
Agricultural Engineering (AE),Bachelors,"$60,400","$99,000% ",61%
Consumer Economics,Bachelors,"$51,200","$99,000% ",38%
International Business,Bachelors,"$52,100","$98,900% ",40%
Chinese Language,Bachelors,"$51,200","$98,700% ",47%
Financial Planning,Bachelors,"$50,400","$98,700% ",57%
Corporate Finance,Bachelors,"$61,000","$98,500% ",43%
Architectural Engineering,Bachelors,"$62,400","$98,400% ",58%
Building Construction Management,Bachelors,"$58,600","$98,000% ",59%
Engineering Technology (ET),Bachelors,"$55,300","$97,900% ",50%
Network Engineering,Bachelors,"$57,900","$97,900% ",46%
Computer Information Systems (CIS),Bachelors,"$56,900","$97,800% ",45%
International Marketing,Bachelors,"$56,200","$97,800% ",18%
Psychobiology,Bachelors,"$45,400","$97,800% ",64%
Electrical Engineering Technology (EET),Bachelors,"$63,100","$97,700% ",48%
Computer Information Systems,Bachelors,"$55,700","$97,700% ",43%
Real Estate,Bachelors,"$56,400","$97,700% ",38%
Molecular Biology,Bachelors,"$50,500","$97,700% ",70%
Operations Management (OM),Bachelors,"$58,000","$97,300% ",43%
Cybersecurity,Bachelors,"$63,000","$97,200% ",55%
Manufacturing,Bachelors,"$54,100","$97,200% ",56%
Construction Trades,Bachelors,"$56,300","$97,100% ",57%
International Relations,Bachelors,"$49,900","$96,800% ",49%
Politics,Bachelors,"$50,600","$96,800% ",53%
Economics & Management,Bachelors,"$52,700","$96,600% ",-
Industrial Hygiene,Bachelors,"$55,800","$96,200% ",55%
Software Development,Bachelors,"$61,000","$96,000% ",44%
Telecommunications Management,Bachelors,"$49,800","$96,000% ",46%
Supply Chain Management,Bachelors,"$59,000","$95,900% ",41%
Mechanical Engineering Technology (MET),Bachelors,"$61,200","$95,800% ",48%
Accounting & Auditing,Bachelors,"$55,400","$95,700% ",42%
Network Security,Bachelors,"$57,500","$95,700% ",47%
Entrepreneurship & Leadership,Bachelors,"$52,300","$95,600% ",46%
Geological Engineering,Bachelors,"$59,100","$95,600% ",57%
Product Design,Bachelors,"$58,600","$95,500% ",40%
Electronics,Bachelors,"$57,000","$95,400% ",61%
Food Marketing,Bachelors,"$54,500","$95,400% ",25%
Safety Management,Bachelors,"$57,400","$95,400% ",70%
German Studies,Bachelors,"$47,400","$95,300% ",43%
Industrial & Labor Relations,Bachelors,"$63,800","$95,300% ",51%
Agricultural Economics & Business,Bachelors,"$51,400","$95,200% ",55%
Aviation Management,Bachelors,"$48,400","$95,200% ",53%
Biochemistry (BCH),Bachelors,"$47,500","$95,100% ",60%
Computer Science (CS) & Business,Bachelors,"$60,800","$95,000% ",40%
Construction Science & Management,Bachelors,"$61,500","$95,000% ",68%
Accounting & Finance,Bachelors,"$55,800","$94,900% ",45%
Comparative Literature,Bachelors,"$44,600","$94,900% ",45%
International & Comparative Politics,Bachelors,"$46,100","$94,900% ",49%
East Asian Studies,Bachelors,"$46,900","$94,800% ",43%
Logistics & Supply Chain Management,Bachelors,"$56,200","$94,400% ",46%
Russian & Eastern European Studies,Bachelors,"$50,800","$94,400% ",-
Occupational Health and Safety,Bachelors,"$57,100","$94,300% ",68%
Aviation,Bachelors,"$50,000","$94,000% ",42%
Manufacturing Technology,Bachelors,"$57,100","$94,000% ",45%
Physical Therapy,Bachelors,"$53,500","$93,900% ",90%
Labor Relations,Bachelors,"$48,900","$93,900% ",39%
Government & International Politics (GVIP),Bachelors,"$49,800","$93,800% ",46%
Information Technology (IT),Bachelors,"$56,100","$93,800% ",45%
City & Regional Planning,Bachelors,"$49,700","$93,700% ",70%
Information Science (IS),Bachelors,"$62,600","$93,700% ",38%
Business & Marketing,Bachelors,"$47,800","$93,600% ",44%
Agribusiness,Bachelors,"$48,000","$93,400% ",53%
Management Studies,Bachelors,"$43,500","$93,400% ",73%
Industrial Design (ID),Bachelors,"$52,100","$93,100% ",41%
Chemistry,Bachelors,"$49,200","$93,000% ",55%
Information Technology (IT) & Systems,Bachelors,"$58,600","$93,000% ",47%
Environmental Health & Safety,Bachelors,"$54,500","$93,000% ",67%
Electronics Engineering Technology (EET),Bachelors,"$61,600","$92,900% ",53%
Organizational Behavior,Bachelors,"$54,000","$92,900% ",49%
Analytical Chemistry,Bachelors,"$54,800","$92,800% ",69%
Computer Engineering Technology (CET),Bachelors,"$60,100","$92,800% ",48%
Food Science & Technology,Bachelors,"$50,200","$92,800% ",49%
Project Management,Bachelors,"$54,100","$92,700% ",54%
Technical & Scientific Communication,Bachelors,"$48,900","$92,400% ",40%
Finance & Banking,Bachelors,"$52,600","$92,300% ",51%
Hotel Administration,Bachelors,"$61,500","$92,100% ",43%
Mechanical Design,Bachelors,"$57,700","$92,100% ",49%
Biomedical Sciences,Bachelors,"$41,200","$92,000% ",70%
International Trade & Business,Bachelors,"$52,300","$91,900% ",28%
Commerce Economics,Bachelors,"$51,200","$91,800% ",31%
Latin American Studies,Bachelors,"$44,300","$91,700% ",63%
Structural Design & Construction Engineering Technology,Bachelors,"$66,500","$91,700% ",46%
Civil Engineering Technology (CET),Bachelors,"$55,600","$91,700% ",62%
Government & Politics,Bachelors,"$50,000","$91,500% ",49%
Aviation Flight Science (AFL),Bachelors,"$49,900","$91,400% ",45%
Business & Finance,Bachelors,"$52,800","$91,400% ",49%
Marketing,Bachelors,"$49,200","$91,400% ",39%
Applied Statistics,Bachelors,"$62,000","$91,300% ",46%
Biopsychology,Bachelors,"$50,200","$91,300% ",73%
Industrial Technology (IT),Bachelors,"$57,800","$91,300% ",51%
Manufacturing Engineering Technology,Bachelors,"$61,500","$91,300% ",52%
Music Production & Engineering,Bachelors,"$42,100","$91,100% ",50%
Networks & Telecommunications,Bachelors,"$52,900","$91,100% ",57%
Chemistry & Environmental Science,Bachelors,"$46,000","$91,000% ",67%
Microbiology & Immunology,Bachelors,"$51,500","$91,000% ",68%
Accounts,Bachelors,"$57,000","$90,900% ",42%
Risk Management,Bachelors,"$59,600","$90,900% ",33%
Environmental Science & Policy,Bachelors,"$47,300","$90,700% ",60%
Dairy Science,Bachelors,"$49,500","$90,600% ",72%
Sales & Marketing,Bachelors,"$48,500","$90,600% ",44%
Welding Engineering Technology,Bachelors,"$72,000","$90,400% ",45%
Industrial Psychology,Bachelors,"$47,000","$90,200% ",49%
Marketing & Management,Bachelors,"$47,200","$90,200% ",44%
Transportation & Logistics Management,Bachelors,"$52,700","$90,200% ",47%
Marketing Management,Bachelors,"$48,300","$90,100% ",43%
Watershed Hydrology & Management,Bachelors,"$45,500","$90,100% ",49%
Electromechanical Engineering,Bachelors,"$67,100","$90,000% ",54%
Transportation,Bachelors,"$59,100","$90,000% ",50%
Advertising Design,Bachelors,"$49,300","$89,700% ",29%
Management & Finance,Bachelors,"$52,500","$89,700% ",53%
Risk Management & Insurance,Bachelors,"$56,300","$89,700% ",44%
Geology,Bachelors,"$48,200","$89,600% ",55%
Information Assurance,Bachelors,"$55,600","$89,500% ",58%
Political Science,Bachelors,"$47,900","$89,500% ",48%
Philosophy,Bachelors,"$48,700","$89,400% ",41%
Radiation Therapy,Bachelors,"$65,600","$89,400% ",91%
Cell Biology,Bachelors,"$48,200","$89,300% ",61%
French Literature,Bachelors,"$44,200","$89,300% ",50%
Web Design & Development,Bachelors,"$50,600","$89,300% ",46%
Meteorology,Bachelors,"$44,500","$89,300% ",60%
Biological Sciences,Bachelors,"$46,200","$89,200% ",65%
Occupational Therapy (OT),Bachelors,"$55,100","$89,200% ",90%
Environmental Policy Analysis & Planning,Bachelors,"$47,200","$89,100% ",62%
Entrepreneurial Studies,Bachelors,"$46,700","$88,900% ",35%
Financial Accounting,Bachelors,"$53,400","$88,900% ",51%
Political Science/Public Law,Bachelors,"$43,900","$88,900% ",61%
Quality Management,Bachelors,"$53,400","$88,900% ",64%
Aeronautics,Bachelors,"$59,100","$88,800% ",65%
Applied Computer Science,Bachelors,"$62,900","$88,800% ",48%
Accounting,Bachelors,"$51,700","$88,700% ",42%
Broadcasting Technology,Bachelors,"$40,000","$88,700% ",-
Food Science,Bachelors,"$49,900","$88,700% ",46%
Marketing & Communications,Bachelors,"$46,600","$88,700% ",43%
Urban Planning,Bachelors,"$48,100","$88,500% ",54%
Manufacturing Management,Bachelors,"$60,400","$88,500% ",49%
Insurance,Bachelors,"$53,000","$88,400% ",42%
Business Data Analysis,Bachelors,"$60,400","$88,300% ",38%
Environmental Design,Bachelors,"$45,400","$88,300% ",55%
Advertising,Bachelors,"$44,800","$88,200% ",33%
Cinema Studies,Bachelors,"$45,400","$88,200% ",32%
Financial Management,Bachelors,"$51,000","$88,200% ",51%
Advertising & Marketing Communications,Bachelors,"$46,000","$88,100% ",36%
Operations & Supply Chain Management,Bachelors,"$57,800","$88,100% ",44%
Computer Information Management,Bachelors,"$46,800","$88,000% ",62%
Global & International Studies,Bachelors,"$45,900","$87,800% ",49%
Computing & Information Systems (CIS),Bachelors,"$50,800","$87,800% ",42%
Architecture,Bachelors,"$48,300","$87,800% ",55%
Environmental & Natural Resource Economics,Bachelors,"$49,100","$87,600% ",60%
Labor Studies,Bachelors,"$44,100","$87,500% ",49%
Aviation Technology,Bachelors,"$52,600","$87,400% ",52%
Social Ecology,Bachelors,"$46,700","$87,400% ",60%
Classics,Bachelors,"$45,000","$87,300% ",39%
Marketing Communication,Bachelors,"$43,600","$87,300% ",40%
Geographic Information Systems (GIS) & Spatial Analysis,Bachelors,"$51,700","$87,200% ",56%
Organizational Psychology,Bachelors,"$48,300","$87,200% ",45%
European History,Bachelors,"$49,700","$87,100% ",50%
Urban & Regional Planning,Bachelors,"$47,500","$87,000% ",59%
Real Estate Development,Bachelors,"$54,400","$86,800% ",-
Applied Technology,Bachelors,"$52,900","$86,700% ",60%
Entomology,Bachelors,"$44,000","$86,700% ",-
Architectural Engineering Technology,Bachelors,"$49,900","$86,600% ",59%
Public Affairs,Bachelors,"$49,700","$86,600% ",53%
Entrepreneurship,Bachelors,"$51,400","$86,500% ",45%
Business Management & Marketing,Bachelors,"$45,800","$86,400% ",47%
Digital Arts,Bachelors,"$43,200","$86,300% ",32%
Industrial Safety,Bachelors,"$53,200","$86,200% ",78%
Logistics,Bachelors,"$54,800","$86,200% ",37%
Hotel Management,Bachelors,"$44,500","$86,100% ",44%
Cell & Molecular Biology,Bachelors,"$48,900","$86,000% ",66%
Global Business Management,Bachelors,"$53,200","$86,000% ",51%
Technical Management,Bachelors,"$57,800","$85,900% ",65%
Computer & Network Administration,Bachelors,"$54,100","$85,900% ",47%
Police Science,Bachelors,"$53,400","$85,800% ",-
Pre-law,Bachelors,"$44,700","$85,800% ",46%
Business Communication,Bachelors,"$47,600","$85,600% ",47%
Microbiology,Bachelors,"$46,200","$85,600% ",68%
Professional Aeronautics,Bachelors,"$57,700","$85,600% ",68%
Advertising & Promotion,Bachelors,"$42,400","$85,500% ",45%
Network Systems Administration,Bachelors,"$53,500","$85,400% ",50%
Construction Technology,Bachelors,"$55,500","$85,300% ",47%
Electronic & Computer Technology,Bachelors,"$61,300","$85,000% ",-
Marketing & Advertising,Bachelors,"$47,200","$85,000% ",53%
Electronic Systems Technology (EST),Bachelors,"$61,800","$84,900% ",-
International Studies,Bachelors,"$47,500","$84,800% ",51%
Construction Engineering Technology,Bachelors,"$53,000","$84,700% ",57%
Applied Science,Bachelors,"$44,100","$84,600% ",56%
Accounting Information Systems,Bachelors,"$60,000","$84,500% ",51%
Environmental Health,Bachelors,"$48,100","$84,500% ",72%
Technology,Bachelors,"$53,400","$84,500% ",64%
Biosystems Engineering,Bachelors,"$62,000","$84,200% ",75%
Fashion Design,Bachelors,"$44,800","$84,100% ",26%
Agribusiness Management,Bachelors,"$47,600","$84,000% ",46%
German Language,Bachelors,"$48,200","$84,000% ",41%
Professional Pilot Education,Bachelors,"$59,800","$83,900% ",-
Textile Technology,Bachelors,"$51,500","$83,900% ",31%
Manufacturing Systems,Bachelors,"$71,700","$83,600% ",-
Diagnostic Medical Ultrasound,Bachelors,"$60,800","$83,500% ",70%
Marketing & Mass Communications,Bachelors,"$41,800","$83,500% ",40%
General Business,Bachelors,"$47,600","$83,400% ",52%
Computer Graphics Technology (CGT),Bachelors,"$46,800","$83,400% ",40%
Agricultural Systems Technology,Bachelors,"$54,000","$83,300% ",58%
Health Care,Bachelors,"$41,700","$83,300% ",71%
Hospital Administration,Bachelors,"$49,600","$83,300% ",53%
Personal Financial Planning,Bachelors,"$51,200","$83,300% ",59%
Business Technology Management,Bachelors,"$52,900","$83,200% ",48%
Health Policy & Administration,Bachelors,"$48,300","$83,100% ",65%
Math & Science,Bachelors,"$54,400","$82,900% ",62%
Architectural Design,Bachelors,"$46,000","$82,800% ",59%
Environmental Science,Bachelors,"$46,500","$82,800% ",60%
Advertising & Marketing,Bachelors,"$46,300","$82,700% ",38%
Animation,Bachelors,"$43,100","$82,700% ",36%
General Science,Bachelors,"$46,900","$82,600% ",62%
Biology & Chemistry,Bachelors,"$46,700","$82,500% ",66%
American Studies,Bachelors,"$49,000","$82,400% ",50%
Product Design Engineering,Bachelors,"$61,500","$82,400% ",39%
Aviation Maintenance Technology,Bachelors,"$49,800","$82,300% ",58%
Film Studies,Bachelors,"$42,500","$82,300% ",40%
Magazine Journalism,Bachelors,"$44,500","$82,300% ",26%
Web & Digital Media Development,Bachelors,"$48,400","$82,200% ",34%
Digital Media Design,Bachelors,"$45,200","$82,000% ",36%
English Literature,Bachelors,"$45,400","$82,000% ",45%
History & Politics,Bachelors,"$47,200","$82,000% ",49%
Human Biology,Bachelors,"$48,400","$82,000% ",68%
Business Management & Human Resources Management (HRM),Bachelors,"$44,700","$81,900% ",58%
Architectural Technology,Bachelors,"$44,700","$81,900% ",56%
Design,Bachelors,"$49,400","$81,900% ",41%
Philosophy & Religion,Bachelors,"$41,800","$81,900% ",55%
Physiology,Bachelors,"$46,900","$81,900% ",62%
Business Administration,Bachelors,"$49,700","$81,700% ",50%
French Studies,Bachelors,"$49,500","$81,700% ",53%
Land Surveying,Bachelors,"$48,700","$81,700% ",56%
Management,Bachelors,"$49,000","$81,600% ",48%
Geographic Information Systems (GIS),Bachelors,"$47,100","$81,500% ",53%
Interactive Media Design,Bachelors,"$51,800","$81,500% ",40%
Architectural Studies,Bachelors,"$43,100","$81,400% ",42%
Business Administration & Accounting,Bachelors,"$50,300","$81,300% ",53%
