Major,Degree,Early-Career Pay,Mid-Career Pay,% High Meaning
Industrial Arts,Bachelors,"$46,500","$81,300% ",65%
Textile Design,Bachelors,"$47,400","$81,200% ",40%
Textile & Apparel Studies,Bachelors,"$43,800","$81,100% ",28%
Accounting & Management,Bachelors,"$49,700","$81,000% ",53%
Nursing Science,Bachelors,"$63,700","$80,900% ",84%
Business Management,Bachelors,"$48,800","$80,800% ",50%
Linguistics,Bachelors,"$49,300","$80,800% ",45%
Agronomy,Bachelors,"$49,100","$80,700% ",64%
Corporate Communications,Bachelors,"$45,300","$80,700% ",41%
Neuroscience,Bachelors,"$47,800","$80,700% ",59%
Communication Studies & Journalism,Bachelors,"$42,500","$80,600% ",49%
Sociology & Organizational Studies,Bachelors,"$48,200","$80,500% ",54%
Nursing,Bachelors,"$61,700","$80,400% ",84%
Toxicology,Bachelors,"$43,800","$80,300% ",-
History,Bachelors,"$45,300","$80,300% ",46%
Agricultural Science,Bachelors,"$46,900","$80,300% ",57%
Biology,Bachelors,"$44,500","$80,200% ",65%
Crop Science,Bachelors,"$45,200","$80,200% ",67%
French Language,Bachelors,"$46,600","$80,200% ",48%
Environmental Studies,Bachelors,"$45,900","$80,100% ",59%
Management (MGT),Bachelors,"$44,800","$80,100% ",57%
Communication,Bachelors,"$45,300","$79,900% ",45%
General & Strategic Management,Bachelors,"$48,900","$79,800% ",53%
Merchandising Management,Bachelors,"$44,200","$79,800% ",35%
Dental Hygiene,Bachelors,"$70,400","$79,600% ",79%
Hydrology,Bachelors,"$45,300","$79,600% ",-
Global Business,Bachelors,"$53,200","$79,500% ",37%
Retail & Consumer Science,Bachelors,"$48,500","$79,500% ",34%
Literature,Bachelors,"$44,400","$79,500% ",44%
Emergency Management,Bachelors,"$49,600","$79,400% ",78%
Interpersonal & Organizational Communication,Bachelors,"$40,300","$79,400% ",56%
Nuclear Medicine,Bachelors,"$57,800","$79,400% ",84%
History & Political Science,Bachelors,"$48,400","$79,300% ",51%
Retail Merchandising,Bachelors,"$48,000","$79,200% ",33%
Agriculture,Bachelors,"$45,300","$79,100% ",61%
Environmental Management,Bachelors,"$47,300","$79,100% ",61%
Professional & Technical Writing,Bachelors,"$46,000","$79,100% ",46%
International Development Studies,Bachelors,"$45,500","$79,000% ",64%
Workforce Education & Development,Bachelors,"$57,100","$79,000% ",74%
Journalism & Mass Communication,Bachelors,"$43,700","$79,000% ",45%
Pre-Medicine,Bachelors,"$48,400","$78,900% ",65%
Bachelor in Science Nursing,Bachelors,"$61,000","$78,800% ",81%
Network Technology,Bachelors,"$54,900","$78,800% ",57%
Theatre & Drama Studies,Bachelors,"$41,500","$78,600% ",49%
Law,Bachelors,"$51,900","$78,500% ",51%
Law Enforcement,Bachelors,"$43,800","$78,400% ",57%
Printing Technology,Bachelors,"$43,800","$78,400% ",-
Public Relations & Communication,Bachelors,"$43,600","$78,400% ",46%
Foreign Languages,Bachelors,"$47,800","$78,300% ",57%
Interior Architecture,Bachelors,"$45,100","$78,300% ",47%
Marine Science,Bachelors,"$44,000","$78,300% ",58%
Public Management,Bachelors,"$47,800","$78,300% ",60%
Web Development,Bachelors,"$54,100","$78,300% ",53%
Journalism,Bachelors,"$43,500","$78,200% ",45%
Landscape Architecture,Bachelors,"$49,000","$78,200% ",67%
Environmental Geography,Bachelors,"$47,100","$78,200% ",52%
Bachelor of Science in Nursing,Bachelors,"$60,700","$78,100% ",83%
Digital Media,Bachelors,"$44,500","$78,000% ",39%
Welding Technology,Bachelors,"$46,100","$78,000% ",-
Nutrition Science,Bachelors,"$45,900","$77,800% ",67%
Accounting & Business,Bachelors,"$49,400","$77,600% ",49%
Diagnostic Medical Sonography,Bachelors,"$62,200","$77,600% ",85%
American History (United States),Bachelors,"$47,800","$77,500% ",55%
Strategic Communication,Bachelors,"$44,600","$77,500% ",42%
Public Relations (PR),Bachelors,"$43,000","$77,400% ",43%
Natural Sciences,Bachelors,"$41,700","$77,300% ",51%
International Affairs,Bachelors,"$49,100","$77,200% ",53%
Drama,Bachelors,"$43,900","$77,200% ",46%
Network Administration,Bachelors,"$46,900","$77,200% ",55%
Media Studies,Bachelors,"$48,300","$77,100% ",36%
Organizational Development,Bachelors,"$51,600","$77,000% ",52%
Writing,Bachelors,"$41,800","$77,000% ",43%
Integrated Marketing Communications,Bachelors,"$44,600","$76,900% ",34%
Crisis & Emergency Management,Bachelors,"$46,600","$76,800% ",77%
Organizational Communication,Bachelors,"$44,000","$76,800% ",49%
Retailing,Bachelors,"$48,900","$76,800% ",27%
Speech Communication,Bachelors,"$43,900","$76,800% ",55%
Allied Health,Bachelors,"$41,800","$76,700% ",79%
Environmental Biology,Bachelors,"$43,000","$76,700% ",66%
Nuclear Medicine Technology,Bachelors,"$58,900","$76,700% ",81%
Apparel & Textile Manufacture,Bachelors,"$45,700","$76,600% ",36%
Technology Management,Bachelors,"$53,900","$76,500% ",45%
Film Production,Bachelors,"$42,700","$76,400% ",32%
Security Management,Bachelors,"$44,800","$76,400% ",-
Acting,Bachelors,"$42,200","$76,200% ",48%
Broadcast & Cinematic Arts,Bachelors,"$41,900","$76,200% ",41%
Business Management & Administration,Bachelors,"$48,600","$76,200% ",53%
Marine Biology,Bachelors,"$40,800","$76,200% ",61%
Professional Studies,Bachelors,"$42,100","$76,200% ",64%
Romance Languages,Bachelors,"$50,300","$76,200% ",54%
Computer Animation,Bachelors,"$44,500","$76,100% ",31%
Cytotechnology,Bachelors,"$58,100","$76,000% ",90%
Broadcast Journalism,Bachelors,"$41,100","$76,000% ",49%
Geography,Bachelors,"$46,900","$76,000% ",52%
Journalism & Electronic Media,Bachelors,"$42,100","$75,900% ",50%
Automotive Technology,Bachelors,"$45,800","$75,800% ",46%
Interpersonal Communications,Bachelors,"$43,100","$75,800% ",48%
Law & Society,Bachelors,"$44,400","$75,700% ",50%
Agricultural Business,Bachelors,"$50,300","$75,600% ",50%
Ancient History,Bachelors,"$43,900","$75,600% ",-
Computer Aided Design (CAD),Bachelors,"$46,500","$75,500% ",-
Computer Art,Bachelors,"$41,200","$75,500% ",30%
Administration,Bachelors,"$43,100","$75,400% ",56%
Forestry,Bachelors,"$44,700","$75,400% ",66%
Urban Studies,Bachelors,"$48,600","$75,300% ",56%
Business Law,Bachelors,"$51,100","$75,100% ",44%
Radio/Television & Film Production,Bachelors,"$42,800","$75,000% ",39%
Digital Design,Bachelors,"$48,200","$74,800% ",38%
Forensic Science,Bachelors,"$43,800","$74,800% ",62%
Geosciences,Bachelors,"$46,600","$74,800% ",63%
Logistics Management,Bachelors,"$52,800","$74,800% ",47%
Ecology,Bachelors,"$43,500","$74,700% ",53%
English & History,Bachelors,"$43,600","$74,700% ",48%
English Language & Literature,Bachelors,"$43,900","$74,700% ",44%
American Sign Language Interpreting,Bachelors,"$42,500","$74,600% ",85%
Homeland Security,Bachelors,"$46,800","$74,600% ",71%
Zoology,Bachelors,"$40,300","$74,600% ",67%
English Language,Bachelors,"$42,100","$74,500% ",47%
Human Resources Management (HRM),Bachelors,"$45,300","$74,400% ",55%
Technical Writing,Bachelors,"$52,000","$74,300% ",45%
Automotive Technology & Service Management,Bachelors,"$45,400","$74,300% ",36%
Business Technology,Bachelors,"$49,800","$74,100% ",45%
Mass Communication,Bachelors,"$42,700","$74,100% ",44%
Health Sciences,Bachelors,"$42,400","$74,000% ",70%
Organizational Leadership,Bachelors,"$47,400","$74,000% ",56%
Musicology,Bachelors,"$38,100","$73,900% ",-
Spanish Language,Bachelors,"$44,900","$73,600% ",53%
Historic Preservation,Bachelors,"$41,300","$73,500% ",52%
Music Technology,Bachelors,"$42,900","$73,500% ",38%
Organizational Leadership & Supervision,Bachelors,"$46,400","$73,500% ",50%
Human Nutrition,Bachelors,"$45,500","$73,400% ",84%
Spanish Language Teacher Education,Bachelors,"$43,900","$73,400% ",-
Botany,Bachelors,"$40,300","$73,300% ",72%
Apparel Merchandising,Bachelors,"$45,400","$73,200% ",35%
Environmental Health Science,Bachelors,"$51,400","$73,100% ",64%
Media & Technology,Bachelors,"$41,400","$73,100% ",48%
Public Administration,Bachelors,"$44,200","$73,100% ",58%
Liberal Arts,Bachelors,"$42,500","$73,000% ",53%
Merchandising,Bachelors,"$50,500","$73,000% ",30%
Environmental Resource Management,Bachelors,"$45,700","$72,900% ",62%
Computer Aided Drafting & Design (CADD),Bachelors,"$46,800","$72,800% ",54%
Forestry Management,Bachelors,"$44,300","$72,800% ",73%
German Language & Literature,Bachelors,"$46,100","$72,700% ",48%
Electronics & Computer Technology,Bachelors,"$51,700","$72,700% ",-
Administrative Management,Bachelors,"$50,100","$72,600% ",50%
Cardiopulmonary Science,Bachelors,"$45,800","$72,600% ",89%
3D Animation,Bachelors,"$49,400","$72,500% ",44%
Ethnic Studies,Bachelors,"$44,900","$72,300% ",62%
Adult Education & Training,Bachelors,"$46,200","$72,200% ",79%
Health Administration,Bachelors,"$40,700","$72,200% ",69%
Agricultural Communication,Bachelors,"$42,600","$72,100% ",51%
Organizational Management,Bachelors,"$46,900","$72,100% ",57%
Multimedia,Bachelors,"$42,800","$72,000% ",42%
Communication Design,Bachelors,"$48,700","$71,900% ",34%
Radiologic Science,Bachelors,"$54,900","$71,800% ",81%
Exercise Physiology,Bachelors,"$41,600","$71,700% ",78%
Criminal Justice Administration,Bachelors,"$43,700","$71,600% ",55%
Natural Resource Management,Bachelors,"$43,800","$71,500% ",60%
Diagnostic Medical Imaging,Bachelors,"$57,900","$71,400% ",74%
Earth Science,Bachelors,"$48,200","$71,400% ",50%
Hotel & Restaurant Management,Bachelors,"$44,600","$71,400% ",48%
Radiology,Bachelors,"$51,600","$71,300% ",84%
Art History,Bachelors,"$44,400","$71,200% ",46%
Hospital Management,Bachelors,"$48,500","$71,200% ",34%
Retail Management,Bachelors,"$45,700","$71,200% ",37%
English & Psychology,Bachelors,"$41,100","$71,100% ",47%
Human Resources (HR),Bachelors,"$44,800","$71,100% ",54%
Management & Organization,Bachelors,"$53,900","$71,100% ",68%
Painting & Printmaking,Bachelors,"$32,800","$71,100% ",41%
Visual Effects & Motion Graphics,Bachelors,"$47,400","$71,100% ",43%
Medical Laboratory Technology,Bachelors,"$54,100","$71,000% ",82%
Fashion Merchandising,Bachelors,"$44,100","$71,000% ",30%
Multimedia & Web Design,Bachelors,"$47,500","$70,900% ",34%
Advertising & Graphic Design,Bachelors,"$44,600","$70,800% ",37%
Anthropology,Bachelors,"$43,500","$70,800% ",46%
Broadcast Communication,Bachelors,"$37,900","$70,800% ",48%
Communication Management,Bachelors,"$42,500","$70,800% ",37%
Health Care Administration,Bachelors,"$43,600","$70,800% ",70%
Natural Resources,Bachelors,"$44,900","$70,700% ",66%
Psychology,Bachelors,"$42,000","$70,700% ",56%
Visual Communications,Bachelors,"$43,000","$70,700% ",37%
Applied Behavior Analysis,Bachelors,"$36,900","$70,600% ",-
Travel Industry Management,Bachelors,"$51,800","$70,600% ",-
Humanities,Bachelors,"$43,800","$70,500% ",48%
Sociology & Anthropology,Bachelors,"$41,900","$70,500% ",48%
Communication Arts,Bachelors,"$40,400","$70,500% ",41%
Creative Writing,Bachelors,"$42,800","$70,400% ",43%
Anthropology & English,Bachelors,"$44,900","$70,300% ",58%
Modern Languages,Bachelors,"$48,600","$70,300% ",52%
Health Care Management,Bachelors,"$44,000","$70,200% ",71%
Health Teacher Education,Bachelors,"$35,500","$70,200% ",52%
Radiologic Technology,Bachelors,"$52,100","$70,200% ",82%
Health & Fitness,Bachelors,"$38,000","$70,100% ",67%
Animal Science & Management,Bachelors,"$42,100","$70,000% ",54%
Criminology,Bachelors,"$42,400","$70,000% ",54%
Hospitality Management,Bachelors,"$43,600","$70,000% ",43%
Art Administration,Bachelors,"$36,800","$70,000% ",58%
Human Relations,Bachelors,"$41,100","$70,000% ",62%
Health Information Management,Bachelors,"$46,200","$69,900% ",69%
Medical Laboratory Science,Bachelors,"$53,000","$69,900% ",84%
Liberal Studies,Bachelors,"$42,300","$69,800% ",57%
Secondary & Middle School Mathematics Teacher Education,Bachelors,"$43,100","$69,800% ",71%
Fashion Design & Marketing,Bachelors,"$42,200","$69,700% ",39%
Art & Design,Bachelors,"$42,400","$69,600% ",39%
Physical Anthropology,Bachelors,"$49,300","$69,600% ",39%
Sports Management,Bachelors,"$42,900","$69,600% ",43%
Life Sciences,Bachelors,"$51,900","$69,400% ",59%
Respiratory Care,Bachelors,"$52,300","$69,200% ",84%
Audio Engineering,Bachelors,"$45,900","$69,100% ",37%
Social & Criminal Justice,Bachelors,"$42,300","$69,100% ",58%
Child Psychology,Bachelors,"$37,100","$68,900% ",64%
Interior Design,Bachelors,"$42,400","$68,900% ",50%
Small Business Management,Bachelors,"$43,900","$68,900% ",40%
Turfgrass Management,Bachelors,"$47,700","$68,900% ",49%
Medical Technology,Bachelors,"$53,300","$68,800% ",80%
Religious Studies,Bachelors,"$41,000","$68,800% ",57%
Hotel & Restaurant Tourism,Bachelors,"$42,500","$68,700% ",46%
Sociology,Bachelors,"$43,700","$68,600% ",54%
Arts & Science,Bachelors,"$43,900","$68,500% ",68%
Secondary Education,Bachelors,"$42,700","$68,500% ",62%
Speech Pathology & Audiology,Bachelors,"$41,500","$68,500% ",77%
Theater,Bachelors,"$42,400","$68,400% ",48%
Archaeology,Bachelors,"$43,900","$68,300% ",45%
Illustration,Bachelors,"$42,900","$68,300% ",36%
Radiography,Bachelors,"$52,700","$68,300% ",82%
Media Arts,Bachelors,"$44,000","$68,200% ",39%
Clinical Laboratory Science,Bachelors,"$52,400","$68,100% ",83%
Graphics Technology & Management,Bachelors,"$38,800","$68,100% ",36%
Psychology & Social Behavior,Bachelors,"$44,100","$68,100% ",56%
Health Management,Bachelors,"$42,000","$68,000% ",68%
Media Communication,Bachelors,"$44,300","$68,000% ",42%
Mass Media,Bachelors,"$38,100","$67,900% ",46%
Nutrition,Bachelors,"$45,100","$67,900% ",68%
Performing Arts,Bachelors,"$42,900","$67,800% ",52%
SocialStudies,Bachelors,"$43,700","$67,700% ",57%
Italian Language,Bachelors,"$47,800","$67,600% ",40%
Social Studies,Bachelors,"$44,100","$67,500% ",61%
Commercial Photography,Bachelors,"$42,000","$67,300% ",23%
Radio & Television,Bachelors,"$40,800","$67,200% ",40%
Respiratory Therapy,Bachelors,"$52,300","$67,200% ",82%
Art Therapy,Bachelors,"$39,200","$67,100% ",81%
Biological Anthropology,Bachelors,"$41,900","$67,100% ",44%
Drafting & Design,Bachelors,"$48,900","$66,800% ",59%
Geomatics,Bachelors,"$49,000","$66,800% ",65%
Clinical Nutrition,Bachelors,"$47,600","$66,700% ",73%
Horticulture & Agronomy,Bachelors,"$46,400","$66,700% ",58%
Graphic Communication,Bachelors,"$44,700","$66,600% ",29%
Plant Sciences,Bachelors,"$45,800","$66,600% ",60%
Kinesiology,Bachelors,"$42,100","$66,600% ",66%
Fire Science,Bachelors,"$47,200","$66,600% ",71%
Fashion Marketing & Management,Bachelors,"$45,200","$66,500% ",30%
Music,Bachelors,"$41,800","$66,500% ",54%
Nutrition & Dietetics,Bachelors,"$48,500","$66,500% ",72%
Health,Bachelors,"$41,900","$66,400% ",73%
Legal Studies,Bachelors,"$44,400","$66,400% ",49%
Criminal Justice,Bachelors,"$40,600","$66,300% ",56%
Wildlife & Fisheries Science,Bachelors,"$38,300","$66,300% ",59%
Forensic Psychology,Bachelors,"$40,800","$66,200% ",52%
Graphic Design,Bachelors,"$42,600","$65,800% ",37%
Dramatic Art,Bachelors,"$38,900","$65,700% ",-
Hospitality & Tourism,Bachelors,"$41,500","$65,600% ",41%
Religion,Bachelors,"$41,100","$65,600% ",62%
Pre-Veterinary Medicine,Bachelors,"$37,600","$65,600% ",72%
Sports Medicine,Bachelors,"$45,700","$65,400% ",74%
Women's Studies,Bachelors,"$42,700","$65,400% ",59%
Fine Arts,Bachelors,"$40,400","$65,300% ",45%
Public Health (PH),Bachelors,"$43,400","$65,300% ",70%
Modern Language Spanish,Bachelors,"$41,100","$65,200% ",51%
Museum Studies,Bachelors,"$37,600","$65,200% ",47%
Business Leadership,Bachelors,"$47,700","$65,100% ",46%
Dietetics,Bachelors,"$48,700","$65,100% ",75%
Forensic Accounting,Bachelors,"$44,200","$65,100% ",39%
Landscape Management,Bachelors,"$49,300","$65,100% ",-
Speech-Language Pathology,Bachelors,"$41,700","$65,100% ",70%
Animal Science,Bachelors,"$39,000","$64,900% ",64%
Family & Consumer Science,Bachelors,"$40,500","$64,900% ",57%
Drawing & Painting,Bachelors,"$40,600","$64,500% ",48%
Music Industry,Bachelors,"$44,400","$64,500% ",38%
Technical Theatre,Bachelors,"$39,100","$64,500% ",41%
Foods & Nutrition,Bachelors,"$45,000","$64,400% ",70%
Physical Therapist Assistant Studies,Bachelors,"$49,100","$64,400% ",85%
Recreation Management,Bachelors,"$40,300","$64,400% ",58%
Interdisciplinary Studies (IS),Bachelors,"$42,200","$64,200% ",56%
Education,Bachelors,"$41,800","$64,100% ",67%
Applied Linguistics,Bachelors,"$44,100","$64,000% ",40%
Applied Sociology,Bachelors,"$40,100","$63,800% ",57%
Business & Healthcare Management,Bachelors,"$44,700","$63,800% ",67%
Music Composition,Bachelors,"$42,300","$63,700% ",51%
Physical Education & Exercise Science,Bachelors,"$41,000","$63,700% ",78%
Behavioral Science,Bachelors,"$40,400","$63,500% ",61%
Psychology & Sociology,Bachelors,"$40,600","$63,400% ",52%
General Studies,Bachelors,"$41,200","$63,300% ",53%
Culinary Arts & Culinary Management,Bachelors,"$36,100","$63,200% ",51%
Theatre Arts,Bachelors,"$40,900","$63,200% ",49%
Technology Teacher Education,Bachelors,"$46,400","$63,100% ",47%
Art,Bachelors,"$40,600","$63,000% ",46%
Textiles & Clothing,Bachelors,"$42,900","$63,000% ",46%
Video Production,Bachelors,"$42,800","$62,800% ",38%
Training and Development,Bachelors,"$50,200","$62,500% ",-
Theology,Bachelors,"$39,300","$62,300% ",69%
Restaurant & Food Service Management,Bachelors,"$41,500","$62,300% ",45%
Missions,Bachelors,"$41,400","$62,200% ",-
Event Management,Bachelors,"$39,500","$62,100% ",42%
Clinical Psychology,Bachelors,"$40,900","$62,000% ",66%
Developmental Psychology,Bachelors,"$31,000","$62,000% ",-
Physical Education Teaching,Bachelors,"$39,600","$62,000% ",71%
Theatre,Bachelors,"$39,700","$62,000% ",48%
Sports Administration,Bachelors,"$41,200","$61,900% ",53%
Drawing,Bachelors,"$36,400","$61,800% ",35%
Health & Exercise Science,Bachelors,"$40,100","$61,800% ",67%
Agricultural Teacher Education,Bachelors,"$51,000","$61,700% ",53%
Graphic Arts,Bachelors,"$41,100","$61,600% ",39%
New Media,Bachelors,"$44,700","$61,600% ",32%
Health Services Administration,Bachelors,"$40,800","$61,500% ",64%
Interior Design & Merchandising,Bachelors,"$40,800","$61,400% ",38%
Exercise Science,Bachelors,"$38,900","$61,300% ",73%
Electronic Media,Bachelors,"$43,700","$61,200% ",38%
Exercise & Sports Science,Bachelors,"$40,400","$61,200% ",70%
Psychiatry,Bachelors,"$54,700","$61,200% ",-
Supervision & Management,Bachelors,"$39,400","$61,200% ",57%
African American & African Studies,Bachelors,"$43,600","$61,100% ",61%
Culture Studies,Bachelors,"$44,800","$61,000% ",41%
Printmaking,Bachelors,"$36,800","$61,000% ",41%
Secondary English Teacher Education,Bachelors,"$40,000","$61,000% ",67%
Community Health Education,Bachelors,"$40,200","$60,900% ",75%
Culinary Arts,Bachelors,"$36,700","$60,900% ",46%
Wildlife Management,Bachelors,"$37,800","$60,800% ",49%
Psychology & Philosophy,Bachelors,"$45,400","$60,800% ",40%
Mortuary Science,Bachelors,"$40,600","$60,700% ",81%
Paralegal Studies,Bachelors,"$37,700","$60,600% ",51%
Health Studies,Bachelors,"$40,600","$60,500% ",65%
Social Psychology,Bachelors,"$44,400","$60,500% ",55%
Health Services Management,Bachelors,"$39,300","$60,400% ",83%
Emergency Medical Services (EMS),Bachelors,"$41,600","$60,300% ",-
Recording Arts,Bachelors,"$40,500","$60,300% ",44%
English Teacher Education,Bachelors,"$41,300","$60,200% ",56%
Social Science Teacher Education,Bachelors,"$42,100","$60,200% ",-
Social Studies Teacher Education,Bachelors,"$42,400","$60,200% ",65%
Music Teacher Education,Bachelors,"$39,100","$60,000% ",66%
Photography,Bachelors,"$41,500","$60,000% ",38%
Teaching English as a Second Language (ESL),Bachelors,"$41,600","$59,900% ",75%
Health & Physical Education Teaching,Bachelors,"$37,000","$59,900% ",64%
Human Development,Bachelors,"$40,700","$59,700% ",65%
Painting,Bachelors,"$38,700","$59,700% ",44%
Radio Broadcasting,Bachelors,"$43,200","$59,700% ",-
Recreational Studies,Bachelors,"$40,500","$59,700% ",68%
Speech Pathology,Bachelors,"$40,500","$59,500% ",70%
Recreation Administration,Bachelors,"$45,000","$59,400% ",70%
Dance,Bachelors,"$42,600","$59,200% ",61%
Recreation & Leisure Studies,Bachelors,"$38,800","$59,100% ",63%
Arts Management,Bachelors,"$37,400","$59,000% ",44%
University Studies,Bachelors,"$40,000","$59,000% ",51%
Photojournalism,Bachelors,"$39,700","$59,000% ",66%
Organizational Administration,Bachelors,"$42,900","$58,900% ",-
Health & Medical Services Administration,Bachelors,"$37,900","$58,800% ",83%
Tourism Management,Bachelors,"$40,600","$58,800% ",38%
Communicative Disorders,Bachelors,"$45,200","$58,800% ",73%
Sculpture,Bachelors,"$38,400","$58,700% ",44%
Consumer Affairs,Bachelors,"$49,200","$58,600% ",48%
Social Services,Bachelors,"$38,000","$58,600% ",80%
Community Health,Bachelors,"$42,900","$58,500% ",69%
Justice Studies,Bachelors,"$43,300","$58,500% ",50%
Landscape Design,Bachelors,"$48,900","$58,500% ",65%
Horticulture,Bachelors,"$41,300","$57,800% ",60%
Wildlife Biology,Bachelors,"$41,000","$57,800% ",59%
Gender Studies,Bachelors,"$43,100","$57,700% ",55%
Nonprofit Management,Bachelors,"$40,400","$57,200% ",77%
Athletic Training,Bachelors,"$39,700","$57,000% ",76%
Human Development & Family Studies,Bachelors,"$38,300","$56,800% ",66%
Biblical Studies,Bachelors,"$38,700","$56,700% ",73%
Health Promotion,Bachelors,"$40,000","$56,700% ",69%
Home Economics,Bachelors,"$38,200","$56,500% ",65%
Theatre Studies,Bachelors,"$43,100","$56,500% ",51%
Teaching,Bachelors,"$39,600","$56,400% ",72%
Counseling Psychology,Bachelors,"$39,200","$56,200% ",65%
Health & Human Performance,Bachelors,"$36,200","$56,200% ",69%
Library & Information Science,Bachelors,"$44,700","$56,000% ",54%
Art Teacher Education,Bachelors,"$37,500","$55,900% ",62%
Hospitality & The Culinary Arts,Bachelors,"$37,400","$55,900% ",-
Musical Theatre,Bachelors,"$41,800","$55,900% ",46%
Clinical Social Work (CSW),Bachelors,"$41,700","$55,800% ",-
Biblical Studies & Practical Ministries,Bachelors,"$35,100","$55,700% ",78%
Rehabilitation Services,Bachelors,"$34,100","$55,700% ",79%
Parks & Recreation Management,Bachelors,"$40,600","$55,600% ",57%
Pastoral Ministry,Bachelors,"$37,300","$55,600% ",84%
Legal Assistant Studies,Bachelors,"$36,400","$55,500% ",39%
Applied Management,Bachelors,"$43,600","$55,400% ",-
Social Welfare,Bachelors,"$44,900","$55,300% ",71%
Tourism & Travel,Bachelors,"$40,600","$55,300% ",40%
Vocal Performance,Bachelors,"$38,900","$55,300% ",65%
Audio Production,Bachelors,"$43,700","$54,700% ",37%
Bible Studies & Theology,Bachelors,"$38,100","$54,700% ",66%
Church Ministries,Bachelors,"$38,100","$54,600% ",82%
Family Studies,Bachelors,"$35,900","$54,500% ",71%
Special Education,Bachelors,"$39,200","$54,500% ",78%
Ceramics,Bachelors,"$39,900","$54,400% ",48%
Communication Sciences & Disorders,Bachelors,"$40,900","$54,400% ",76%
Family & Community Services,Bachelors,"$38,500","$54,400% ",74%
Speech & Hearing,Bachelors,"$41,400","$54,300% ",79%
Community Development,Bachelors,"$42,100","$53,900% ",65%
Health and Human Services,Bachelors,"$41,500","$53,700% ",66%
Office Management,Bachelors,"$37,800","$53,400% ",50%
Psychology & Human Services,Bachelors,"$35,000","$53,300% ",78%
History Teacher Education,Bachelors,"$45,400","$53,000% ",45%
Youth Ministry,Bachelors,"$35,300","$52,300% ",82%
Therapeutic Recreation,Bachelors,"$37,700","$52,300% ",82%
Community & Human Services,Bachelors,"$40,500","$52,100% ",78%
Christian Ministry,Bachelors,"$35,500","$52,000% ",80%
Elementary Education,Bachelors,"$37,700","$51,600% ",71%
Social Work (SW),Bachelors,"$36,600","$51,600% ",77%
Office Administration,Bachelors,"$38,200","$51,200% ",61%
Voice & Opera,Bachelors,"$32,900","$50,800% ",61%
Elementary Teaching,Bachelors,"$34,400","$50,700% ",76%
Human Services (HS),Bachelors,"$36,600","$50,700% ",70%
Baking & Pastry Arts,Bachelors,"$36,000","$50,600% ",47%
Human Services Management,Bachelors,"$43,500","$50,500% ",-
Counseling,Bachelors,"$37,100","$49,300% ",78%
Recreational Therapy,Bachelors,"$36,400","$49,200% ",82%
Child Development,Bachelors,"$35,500","$49,100% ",76%
Middle School Education,Bachelors,"$39,000","$48,300% ",73%
Educational Psychology,Bachelors,"$34,600","$47,600% ",-
Early Childhood & Elementary Education,Bachelors,"$36,200","$46,500% ",78%
Rehabilitation Counseling,Bachelors,"$38,000","$46,100% ",-
Addiction Studies,Bachelors,"$36,300","$44,800% ",83%
Outdoor Education,Bachelors,"$35,800","$44,200% ",57%
Child & Family Studies,Bachelors,"$34,100","$43,600% ",74%
Early Childhood Education,Bachelors,"$34,100","$43,300% ",78%
Mental Health,Bachelors,"$35,200","$42,500% ",-
Medical Assisting,Bachelors,"$35,100","$42,300% ",-
Addictions Counseling,Bachelors,"$38,800","$42,200% ",-
Metalsmithing,Bachelors,"$38,300","$38,400% ",32%
